	arp.opcode	icmp.checksum	icmp.seq_le	icmp.transmit_timestamp	icmp.unused	http.file_data	http.content_length	http.request.uri.query	http.request.method	http.referer	http.request.full_uri	http.request.version	http.response	http.tls_port	tcp.ack	tcp.connection.fin	tcp.connection.rst	tcp.connection.syn	tcp.connection.synack	tcp.flags.ack	tcp.len	tcp.seq	tcp.srcport	udp.port	udp.stream	udp.time_delta	dns.qry.name.len	dns.qry.qu	dns.qry.type	dns.retransmission	dns.retransmit_request	mqtt.conack.flags	mqtt.conflag.cleansess	mqtt.conflags	mqtt.hdrflags	mqtt.len	mqtt.msg_decoded_as	mqtt.msgtype	mqtt.topic_len	mqtt.ver	mbtcp.len	mbtcp.trans_id	mbtcp.unit_id	Attack_label	tcp.dstport_category
tcp.connection.fin	-0.007988028518787304													-0.06168743363104195	-0.10294684218502119	1.0	-0.13166431568262674	-0.08357376193537346	-0.06561618522609927	-0.025717504412740084	-0.038954625452931047	-0.030300221715872995	0.030153578473938968	-0.009884106637778783	-0.0026707096342060213	-0.0036322373042264704	-0.01566808385748155	-0.0032504468701731013	-0.011471984031122982	-0.00248067770047566	-0.0009014756969203513	-0.13922709127655705	-0.08313807037781057	-0.13883509808004355	0.3782787669246749	-0.11405062123632101		0.6448211282816866	-0.07746615064001512	-0.07551863897037123	-0.07376992060437809	-0.08567064173106691	-0.001274883406381266		0.04287652340138411
tcp.connection.rst	-0.00862802278400313													-0.06662978000185174	-0.11119487085059959	-0.13166431568262674	1.0	-0.09026962290223887	-0.07099609035479142	-0.03241995691546219	-0.04481533541172741	-0.02958368362559926	-0.34010689878437056	-0.010676013120095666	-0.002884684690245094	-0.003923249165180716	-0.016923397830400283	-0.003510869996030322	-0.012391109942266023	-0.0026794275545128456	-0.0009737011872154359	-0.1496931251348981	-0.08979902409596134	-0.14926676063833838	-0.21331015902545272	-0.1231882630667052		-0.12772231647743287	-0.08367267482071303	-0.08156913012025623	-0.07968030587919188	-0.09253450297997078	-0.00137702601478382		0.41889104800921734
tcp.connection.syn	-0.005476626817105167													-0.04229316828604004	-0.06938059615080143	-0.08357376193537346	-0.09026962290223887	1.0	-0.04219680584322558	-0.020578527653149627	-0.02844647886054462	-0.020774369120884536	0.2576706391488437	-0.006776586156180376	-0.0018310500480805023	-0.0024902775671907496	-0.010742105893177681	-0.002228520398355786	-0.007865241748008915	-0.001700763334415634	-0.0006180556272565977	-0.09441391709126302	-0.056999819753100006	-0.09414068407218747	-0.13518929494029597	-0.0781935979949628		-0.08107158280341921	-0.05311112710917479	-0.05177590470586144	-0.05057697584922981	-0.05873616159975781	-0.0008740655639434498		-0.2085718698433045
tcp.connection.synack	-0.004308425058910095													0.051344859082559424	0.728772467618652	-0.06561618522609927	-0.07099609035479142	-0.04219680584322558	1.0	0.34263778511399884	-0.022378651395002856	-0.016310638540322855	-0.1825719785492569	-0.005331094227191204	-0.001440474615986097	-0.0019590844204713386	-0.008450741626411398	-0.001753161836512308	-0.0061875321750366405	-0.0013379789447010618	-0.00048622015726099214	0.28462366433880887	-0.044841370423595456	0.28638375742427674	0.017955076638121837	-0.06151437158281959		-0.06377846265237747	-0.041782162375831905	0.8404227402064482	0.4581736196138916	0.5909435532007284	-0.0006876214327882183		-0.16402583351841665
tcp.flags.ack	-0.001966907579141008													0.01403680529931116	0.07396652083687116	-0.025717504412740084	-0.03241995691546219	-0.020578527653149627	0.34263778511399884	1.0	-0.008753524157525065	-0.006362599832619208	-0.07290908278715208	-0.0024337825300900433	-0.0006576139542879743	-0.0008943727561961854	-0.0038579823316124097	-0.0008003637655401445	-0.0028247686253911708	-0.0006108220268613152	-0.00022197208942278926	0.11556126885966332	-0.01753993180067663	0.11626794626888609	0.008488062372010477	-0.024061661633704195		-0.024947272456375583	-0.016343306897937226	0.07802384083166854	0.051903225501821006	0.05932524714526679	-0.00026896664668933813		-0.06710705596802805
tcp.len	-0.002718930907679116													-0.02099690424494236	-0.03494104102136016	-0.038954625452931047	-0.04481533541172741	-0.02844647886054462	-0.022378651395002856	-0.008753524157525065	1.0	0.7007253875828848	-0.05682881019307411	-0.0033643098505527756	-0.0009090446976748471	-0.0012363253645450668	-0.005333035224401325	-0.0011063731730922715	-0.0039047847514891683	-0.000844362442616521	-0.0003068404336706631	-0.04134699724875964	-0.004013266920240751	-0.026270829794292846	-0.02394632651855467	0.020723577568635243		-0.023312146452172486	0.023319512459360172	-0.022357791181759023	-0.025109482336695507	-0.029106015813743988	0.00016455708122509665		0.09625152387594484
tcp.seq	-0.0019856281390329827													-0.01462449202350057	-0.024807670142989856	-0.030300221715872995	-0.02958368362559926	-0.020774369120884536	-0.016310638540322855	-0.006362599832619208	0.7007253875828848	1.0	-0.06566149564747012	-0.0024569466950471455	-0.0006638729679536975	-0.0009028851839918374	-0.003894701692535641	-0.0008079814380566768	-0.0028516541032822056	-0.0006166356860583664	-0.0002240847671298984	-0.034090660637494066	-0.0206660699317986	-0.033990991762307465	-0.04896541263127506	-0.028349950142793238		-0.029392832297702304	-0.019255948775988956	-0.018648193384360117	-0.01785179479658598	-0.02071401495922757	-0.00031690451211383177		0.0957537601718741
tcp.srcport	-0.02218192420874593													-0.1712995859012753	-0.28445283179000497	0.030153578473938968	-0.34010689878437056	0.2576706391488437	-0.1825719785492569	-0.07290908278715208	-0.05682881019307411	-0.06566149564747012	1.0	-0.027191798682037378	-0.005858646376583986	-0.009807662328523124	0.004254206317713464	-0.009026152817201294	0.001210342030412891	-0.006875174117546264	-0.00200624750622214	-0.36856370677117195	0.2570483762487017	0.040367943115379654	0.26375969460629856	0.3213083146547484		0.2983056189807432	0.24036510530064573	-0.14246362425620637	-0.2048513309059763	-0.23729501315328794	0.003563902882909864		-0.7860781534698218
udp.port	-0.0006477100255154866													-0.005001931217092632	-0.008347455081987637	-0.009884106637778783	-0.010676013120095666	-0.006776586156180376	-0.005331094227191204	-0.0024337825300900433	-0.0033643098505527756	-0.0024569466950471455	-0.027191798682037378	1.0	0.016402318034541577	0.20150071142519632	0.5746536063960819	0.21755594326917976	0.46106301604368505	0.16818821158045755	0.009919109133016074	0.03819086697207738	-0.006741258066251178	0.03843567532031896	0.0011066534250828842	-0.00924780508949045		-0.00958817876766337	-0.006281349933794402	-0.006123435771336067	-0.005981640782147933	-0.006946611846846899	-0.00010337403800379074		-0.0808244631473161
udp.stream	-0.00017501282298031207													-0.0013515339707147374	-0.002255502649410617	-0.0026707096342060213	-0.002884684690245094	-0.0018310500480805023	-0.001440474615986097	-0.0006576139542879743	-0.0009090446976748471	-0.0006638729679536975	-0.005858646376583986	0.016402318034541577	1.0	0.5033388852093595	0.03053040061325848	0.491248412959992	0.02103397088560723	0.3583164325201414	0.004023117555014536	-0.0003649844354746428	-0.0018215043123262465	-0.00034483484038570127	-0.003401561563960971	-0.002498779409497741		-0.0025907492045273302	-0.0016972360172526442	-0.001654567226788292	-0.0016162538761148029	-0.0018769914029006039	-2.7931916291581785e-05		-0.02183896636465105
udp.time_delta	-0.00023802217066402296													-0.0018381227384228977	-0.0030675445799281213	-0.0036322373042264704	-0.003923249165180716	-0.0024902775671907496	-0.0019590844204713386	-0.0008943727561961854	-0.0012363253645450668	-0.0009028851839918374	-0.009807662328523124	0.20150071142519632	0.5033388852093595	1.0	0.0032647369553732894	0.8461152100760662	-0.00014853514048983189	0.6366109998882342	-9.399738548768025e-06	-0.001710942561500808	-0.0024772951084992734	-0.0016887675084475873	-0.005046886897375792	-0.0033984075505492546		-0.0035234889581608458	-0.0023082868676490495	-0.002250256159081502	-0.002198148966377507	-0.0025527590517545958	-3.7988161286195685e-05		-0.029701584664785344
dns.qry.name.len	-0.001026736696295781													-0.007928959149349327	-0.013232215213183674	-0.01566808385748155	-0.016923397830400283	-0.010742105893177681	-0.008450741626411398	-0.0038579823316124097	-0.005333035224401325	-0.003894701692535641	0.004254206317713464	0.5746536063960819	0.03053040061325848	0.0032647369553732894	1.0	-0.0004177943372532157	0.7317792826238716	0.0003123885867460004	0.046680169324529876	0.06783075495711367	-0.010686104526962448	0.06825021122983185	0.004279674375551076	-0.014659431646150432		-0.015198985045150791	-0.009957067553754254	-0.009706745250449358	-0.009481974731212183	-0.011011627143495586	-0.0001638664125637049		-0.12812128730863956
dns.qry.qu	-0.000213003269022769													-0.0016449146357118874	-0.002745109926419733	-0.0032504468701731013	-0.003510869996030322	-0.002228520398355786	-0.001753161836512308	-0.0008003637655401445	-0.0011063731730922715	-0.0008079814380566768	-0.009026152817201294	0.21755594326917976	0.491248412959992	0.8461152100760662	-0.0004177943372532157	1.0	-0.0003059040281415024	0.7556976997394671	-2.4038130301738874e-05	-0.0037136250359101316	-0.0022169025472391327	-0.003703177113390665	-0.005272335805684676	-0.003041195346295888		-0.003153129241533134	-0.002065659040415989	-0.002013728035022281	-0.001967097915001948	-0.00228443435136432	-3.3995163204965705e-05		-0.02657960227447055
dns.qry.type	-0.0007517643568424512													-0.00580548927183132	-0.009688470077312057	-0.011471984031122982	-0.012391109942266023	-0.007865241748008915	-0.0061875321750366405	-0.0028247686253911708	-0.0039047847514891683	-0.0028516541032822056	0.001210342030412891	0.46106301604368505	0.02103397088560723	-0.00014853514048983189	0.7317792826238716	-0.0003059040281415024	1.0	-0.00019425885979201959	0.002821273638838193	0.0496648693461941	-0.00782423821593794	0.04997199022364998	0.0031335265078560144	-0.010733460918367356		-0.011128515478553005	-0.007290446043849739	-0.00710716304049923	-0.006942588748530208	-0.008062581991258784	-0.0001199810318394849		-0.09380887767905238
dns.retransmission	-0.0001625599435086529													-0.0012553667907757944	-0.0020950143939627674	-0.00248067770047566	-0.0026794275545128456	-0.001700763334415634	-0.0013379789447010618	-0.0006108220268613152	-0.000844362442616521	-0.0006166356860583664	-0.006875174117546264	0.16818821158045755	0.3583164325201414	0.6366109998882342	0.0003123885867460004	0.7556976997394671	-0.00019425885979201959	1.0	0.01347094320411359	-0.0027010918066501625	-0.0016918968168739875	-0.0026925452389315483	-0.003977652448185146	-0.0023209810157410146		-0.002406406783007121	-0.001576470720185327	-0.0015368379889982178	-0.0015012507902145158	-0.001743435773595129	-2.594444599615921e-05		-0.020285034422445936
dns.retransmit_request	-5.907411443965241e-05													-0.0004561989864254959	-0.0007613260523499593	-0.0009014756969203513	-0.0009737011872154359	-0.0006180556272565977	-0.00048622015726099214	-0.00022197208942278926	-0.0003068404336706631	-0.0002240847671298984	-0.00200624750622214	0.009919109133016074	0.004023117555014536	-9.399738548768025e-06	0.046680169324529876	-2.4038130301738874e-05	0.002821273638838193	0.01347094320411359	1.0	0.0039026965679917034	-0.000614833544001449	0.003926830319075384	0.0002462344773863323	-0.0008434420877419411		-0.0008744857227399184	-0.0005728878204859412	-0.0005584853271830672	-0.0005455529761489616	-0.0006335627472832118	-9.428184697720028e-06		-0.007371560416543049
mqtt.conack.flags	0.026189152009390173													0.26705915239037936	0.4444333761233406	-0.13922709127655705	-0.1496931251348981	-0.09441391709126302	0.28462366433880887	0.11556126885966332	-0.04134699724875964	-0.034090660637494066	-0.36856370677117195	0.03819086697207738	-0.0003649844354746428	-0.001710942561500808	0.06783075495711367	-0.0037136250359101316	0.0496648693461941	-0.0027010918066501625	0.0039026965679917034	1.0	-0.09498497650443294	0.20786572487785307	0.31310230205154366	-0.06912879030461556		-0.004954564857815725	-0.08850482654929018	0.2642426033622075	0.31936696680711707	0.3702954742866113	-0.0014565501683009806		0.05495563634339339
mqtt.conflag.cleansess	-0.005448075750204656													-0.042072685452638425	-0.07021285084741148	-0.08313807037781057	-0.08979902409596134	-0.056999819753100006	-0.044841370423595456	-0.01753993180067663	-0.004013266920240751	-0.0206660699317986	0.2570483762487017	-0.006741258066251178	-0.0018215043123262465	-0.0024772951084992734	-0.010686104526962448	-0.0022169025472391327	-0.00782423821593794	-0.0016918968168739875	-0.000614833544001449	-0.09498497650443294	1.0	0.819017017356596	0.18027045092326272	0.3427140222962223		-0.006099624635432414	-0.05283424511704738	0.09412759093178993	-0.050313305040659874	-0.05842995485328572	-0.0008695088349157004		-0.2074264166009941
mqtt.conflags	0.02636686929801895													0.26871061029804394	0.4471840319962402	-0.13883509808004355	-0.14926676063833838	-0.09414068407218747	0.28638375742427674	0.11626794626888609	-0.026270829794292846	-0.033990991762307465	0.040367943115379654	0.03843567532031896	-0.00034483484038570127	-0.0016887675084475873	0.06825021122983185	-0.003703177113390665	0.04997199022364998	-0.0026925452389315483	0.003926830319075384	0.20786572487785307	0.819017017356596	1.0	0.17417760217399775	0.23367203665228695		-0.07025520845290395	-0.08825582683568148	0.39192432365433955	0.32134188932811986	0.37258644487352766	-0.001452452306196655		-0.3564635897373124
mqtt.hdrflags	-0.0007250445889464961													0.016849675519078924	0.02768749730289078	0.3782787669246749	-0.21331015902545272	-0.13518929494029597	0.017955076638121837	0.008488062372010477	-0.02394632651855467	-0.04896541263127506	0.26375969460629856	0.0011066534250828842	-0.003401561563960971	-0.005046886897375792	0.004279674375551076	-0.005272335805684676	0.0031335265078560144	-0.003977652448185146	0.0002462344773863323	0.31310230205154366	0.18027045092326272	0.17417760217399775	1.0	0.5435990071556126		0.8169644955284031	0.46159649954407744	0.04234257937250995	0.020149936565834137	0.023195365942481866	-0.0020679044143795907		-0.282516405782022
mqtt.len	-0.007473789336578648													-0.05771622905304472	-0.09631952134155883	-0.11405062123632101	-0.1231882630667052	-0.0781935979949628	-0.06151437158281959	-0.024061661633704195	0.020723577568635243	-0.028349950142793238	0.3213083146547484	-0.00924780508949045	-0.002498779409497741	-0.0033984075505492546	-0.014659431646150432	-0.003041195346295888	-0.010733460918367356	-0.0023209810157410146	-0.0008434420877419411	-0.06912879030461556	0.3427140222962223	0.23367203665228695	0.5435990071556126	1.0		0.13182495423414975	0.8659557973993778	-0.01270419894662539	-0.06902089103419269	-0.08015548856912234	-0.00119281121563145		-0.252788428038377
mqtt.msg_decoded_as																																													
mqtt.msgtype	-0.007748868789677192													-0.059840526114125894	-0.09986464622412539	0.6448211282816866	-0.12772231647743287	-0.08107158280341921	-0.06377846265237747	-0.024947272456375583	-0.023312146452172486	-0.029392832297702304	0.2983056189807432	-0.00958817876766337	-0.0025907492045273302	-0.0035234889581608458	-0.015198985045150791	-0.003153129241533134	-0.011128515478553005	-0.002406406783007121	-0.0008744857227399184	-0.004954564857815725	-0.006099624635432414	-0.07025520845290395	0.8169644955284031	0.13182495423414975		1.0	0.13324319218256137	-0.06298332602849882	-0.0715612662177897	-0.08310568250227758	-0.001236713691613756		-0.22744975103981785
mqtt.topic_len	-0.00507639225742979													-0.03920236510533693	-0.06542272587015478	-0.07746615064001512	-0.08367267482071303	-0.05311112710917479	-0.041782162375831905	-0.016343306897937226	0.023319512459360172	-0.019255948775988956	0.24036510530064573	-0.006281349933794402	-0.0016972360172526442	-0.0023082868676490495	-0.009957067553754254	-0.002065659040415989	-0.007290446043849739	-0.001576470720185327	-0.0005728878204859412	-0.08850482654929018	-0.05283424511704738	-0.08825582683568148	0.46159649954407744	0.8659557973993778		0.13324319218256137	1.0	-0.047992096330051595	-0.046880785779184496	-0.054443694254444015	-0.0008101884261001739		-0.19327518623069004
mqtt.ver	-0.004948770927605751													0.07784408480299464	0.7376036328218087	-0.07551863897037123	-0.08156913012025623	-0.05177590470586144	0.8404227402064482	0.07802384083166854	-0.022357791181759023	-0.018648193384360117	-0.14246362425620637	-0.006123435771336067	-0.001654567226788292	-0.002250256159081502	-0.009706745250449358	-0.002013728035022281	-0.00710716304049923	-0.0015368379889982178	-0.0005584853271830672	0.2642426033622075	0.09412759093178993	0.39192432365433955	0.04234257937250995	-0.01270419894662539		-0.06298332602849882	-0.047992096330051595	1.0	0.6307391409879844	0.720915054525807	-0.0007898201568444636		-0.18841621650614138
mbtcp.len	-0.004834176613828577													0.29261438693827474	0.5883456257074193	-0.07376992060437809	-0.07968030587919188	-0.05057697584922981	0.4581736196138916	0.051903225501821006	-0.025109482336695507	-0.01785179479658598	-0.2048513309059763	-0.005981640782147933	-0.0016162538761148029	-0.002198148966377507	-0.009481974731212183	-0.001967097915001948	-0.006942588748530208	-0.0015012507902145158	-0.0005455529761489616	0.31936696680711707	-0.050313305040659874	0.32134188932811986	0.020149936565834137	-0.06902089103419269		-0.0715612662177897	-0.046880785779184496	0.6307391409879844	1.0	0.8282709524146047	-0.0007624686622610927		-0.1840532943843861
mbtcp.trans_id	-0.005614036308498119													0.2878180606854535	0.7807746285538009	-0.08567064173106691	-0.09253450297997078	-0.05873616159975781	0.5909435532007284	0.05932524714526679	-0.029106015813743988	-0.02071401495922757	-0.23729501315328794	-0.006946611846846899	-0.0018769914029006039	-0.0025527590517545958	-0.011011627143495586	-0.00228443435136432	-0.008062581991258784	-0.001743435773595129	-0.0006335627472832118	0.3702954742866113	-0.05842995485328572	0.37258644487352766	0.023195365942481866	-0.08015548856912234		-0.08310568250227758	-0.054443694254444015	0.720915054525807	0.8282709524146047	1.0	0.08404532290114877		-0.21436041305314002
mbtcp.unit_id	-8.35436923070317e-05													-0.0006451649443115302	-0.001076681212990695	-0.001274883406381266	-0.00137702601478382	-0.0008740655639434498	-0.0006876214327882183	-0.00026896664668933813	0.00016455708122509665	-0.00031690451211383177	0.003563902882909864	-0.00010337403800379074	-2.7931916291581785e-05	-3.7988161286195685e-05	-0.0001638664125637049	-3.3995163204965705e-05	-0.0001199810318394849	-2.594444599615921e-05	-9.428184697720028e-06	-0.0014565501683009806	-0.0008695088349157004	-0.001452452306196655	-0.0020679044143795907	-0.00119281121563145		-0.001236713691613756	-0.0008101884261001739	-0.0007898201568444636	-0.0007624686622610927	0.08404532290114877	1.0		-0.010424995467202313
Attack_label																																													
tcp.dstport_category	-0.065319825078447													-0.15390786975510382	-0.25683739455939586	0.04287652340138411	0.41889104800921734	-0.2085718698433045	-0.16402583351841665	-0.06710705596802805	0.09625152387594484	0.0957537601718741	-0.7860781534698218	-0.0808244631473161	-0.02183896636465105	-0.029701584664785344	-0.12812128730863956	-0.02657960227447055	-0.09380887767905238	-0.020285034422445936	-0.007371560416543049	0.05495563634339339	-0.2074264166009941	-0.3564635897373124	-0.282516405782022	-0.252788428038377		-0.22744975103981785	-0.19327518623069004	-0.18841621650614138	-0.1840532943843861	-0.21436041305314002	-0.010424995467202313		1.0
